89	17
74	63
81	73
51	54
98	82
46	54
11	4
4	65
4	78
11	38
32	31
51	83
63	87
54	3
5	60
77	27
43	46
71	4
58	76
58	23
29	9
65	56
21	92
70	69
60	78
9	33
17	92
80	12
53	32
45	34
13	10
56	74
78	56
33	79
54	89
50	91
48	83
75	15
37	21
99	97
31	97
89	60
24	0
84	69
55	77
87	29
4	69
77	95
27	34
75	10
54	81
17	25
93	54
75	44
42	30
27	27
39	25
25	68
90	64
93	9
91	97
66	33
28	47
81	96
6	7
89	57
34	60
14	58
2	79
61	42
21	96
21	40
9	60
24	98
60	99
48	70
3	51
98	15
63	83
91	31
40	69
82	32
90	75
6	48
42	44
41	68
8	63
24	62
13	69
20	0
70	73
24	69
36	73
9	74
57	99
20	98
84	98
73	2
3	74
18	31
