18	33
4	8
12	63
17	42
35	60
0	66
10	88
35	21
24	97
58	32
27	33
24	43
98	49
47	24
54	82
15	35
96	24
39	71
65	8
20	56
23	53
41	72
94	33
82	28
60	70
3	40
36	87
88	27
4	34
16	36
23	10
34	83
6	71
80	73
82	71
76	52
25	57
90	70
98	71
41	24
64	59
98	97
76	0
34	39
27	80
90	2
37	50
74	76
50	95
19	54
58	84
41	95
65	35
58	83
7	64
75	52
49	71
24	73
64	25
58	10
65	91
94	48
25	2
98	68
74	27
11	17
64	32
20	52
87	30
94	78
30	94
17	69
94	31
57	41
4	59
50	15
15	69
71	96
64	40
19	21
90	38
23	30
34	55
85	43
21	73
67	31
52	4
35	37
78	98
57	44
59	34
3	60
56	27
67	27
48	73
11	39
21	91
46	34
77	8
81	83
66	51
55	1
38	70
68	90
35	68
3	78
90	46
73	6
33	98
71	93
84	34
25	83
69	5
13	23
58	99
50	47
48	24
46	57
99	86
54	14
44	34
33	9
16	34
33	58
3	1
87	56
39	87
45	64
87	61
60	58
57	45
21	62
19	5
91	67
34	18
5	98
7	30
65	38
48	75
77	50
6	4
91	16
81	98
59	88
99	20
18	71
33	56
62	39
59	52
70	5
3	45
75	27
17	63
38	92
94	66
70	67
84	53
51	13
54	17
37	62
33	53
9	55
47	66
70	23
29	6
3	92
20	84
47	30
23	37
55	38
57	17
70	77
43	93
10	73
35	97
50	48
55	20
86	11
35	2
60	8
1	64
0	63
94	21
10	0
38	69
38	18
95	47
41	9
34	38
35	3
3	70
42	37
49	59
13	81
89	84
0	74
89	90
63	0
0	35
4	26
44	90
38	43
4	39
30	31
34	38
60	65
55	90
49	55
36	4
40	14
88	25
68	92
92	78
65	83
9	45
87	70
65	5
45	25
8	21
11	27
44	95
85	24
79	99
55	86
0	15
92	95
87	41
71	12
96	32
77	36
58	57
63	16
94	75
96	60
87	2
49	8
32	31
83	34
72	11
78	38
86	25
18	22
35	73
57	89
77	31
40	86
3	36
11	3
63	97
99	8
68	2
86	1
87	52
15	69
7	60
37	93
15	93
19	55
96	2
33	76
15	73
61	74
29	18
67	73
33	45
47	18
19	53
5	85
54	7
19	20
65	62
7	56
63	32
35	78
7	11
84	68
94	22
92	46
71	76
21	59
77	56
